betapwr,run,side
0.013607102,1,1
0.012316039,1,1
0.011211077,1,1
0.010321238,1,1
0.009645177,1,1
0.009173451,1,1
0.00890595,1,1
0.008856595,1,1
0.009042973,1,1
0.009465347,1,1
0.010084707,1,1
0.010810855,1,1
0.011508176,1,1
0.012019937,1,1
0.012204444,1,1
0.0119714,1,1
0.011306316,1,1
0.01027498,1,1
0.009006982,1,1
0.007664064,1,1
0.006403303,1,1
0.005345467,1,1
0.00455599,1,1
0.004041515,1,1
0.003760521,1,1
0.003643476,1,1
0.003616459,1,1
0.003622136,1,1
0.003633171,1,1
0.003655322,1,1
0.003720396,1,1
0.003872134,1,1
0.004150072,1,1
0.004576548,1,1
0.005150295,1,1
0.005847137,1,1
0.006625719,1,1
0.007435056,1,1
0.008221246,1,1
0.008932291,1,1
0.009521474,1,1
0.009950316,1,1
0.010191718,1,1
0.010233032,1,1
0.01007816,1,1
0.009747656,1,1
0.009276271,1,1
0.008708059,1,1
0.008090078,1,1
0.007466353,1,1
0.00687402,1,1
0.006343033,1,1
0.00589937,1,1
0.005569965,1,1
0.005386325,1,1
0.00538395,1,1
0.005596309,1,1
0.006044623,1,1
0.00672683,1,1
0.007609827,1,1
0.00862812,1,1
0.00968997,1,1
0.010689839,1,1
0.011524415,1,1
0.012108926,1,1
0.012390807,1,1
0.012358549,1,1
0.012044461,1,1
0.011520717,1,1
0.010888732,1,1
0.010262617,1,1
0.009748691,1,1
0.009424547,1,1
0.009322467,1,1
0.009422176,1,1
0.009656148,1,1
0.009927198,1,1
0.010133987,1,1
0.010197307,1,1
0.010080117,1,1
0.009797256,1,1
0.009415124,1,1
0.009044975,1,1
0.008833976,1,1
0.008955703,1,1
0.009597758,1,1
0.010941343,1,1
0.013128148,1,1
0.016214959,1,1
0.020124557,1,1
0.02460971,1,1
0.029250415,1,1
0.033499278,1,1
0.036775299,1,1
0.038586729,1,1
0.038647744,1,1
0.03695011,1,1
0.033763773,1,1
0.029565068,1,1
0.024917319,1,1
0.020344028,1,1
0.016233294,1,1
0.012795823,1,1
0.01007696,1,1
0.008005773,1,1
0.00645749,1,1
0.005309126,1,1
0.004477349,1,1
0.003936695,1,1
0.003721591,1,1
0.003916719,1,1
0.004638475,1,1
0.006008206,1,1
0.008117482,1,1
0.01098812,1,1
0.014534424,1,1
0.018539828,1,1
0.022661395,1,1
0.026470749,1,1
0.029528973,1,1
0.031479499,1,1
0.032133136,1,1
0.031518434,1,1
0.02988003,1,1
0.027623961,1,1
0.025225465,1,1
0.023125121,1,1
0.021640195,1,1
0.020910996,1,1
0.020890822,1,1
0.021376899,1,1
0.022071123,1,1
0.022654358,1,1
0.022856445,1,1
0.022506228,1,1
0.021551765,1,1
0.020049746,1,1
0.018132412,1,1
0.015966322,1,1
0.013717512,1,1
0.01153179,1,1
0.00953035,1,1
0.007814124,1,1
0.006468648,1,1
0.005564662,1,1
0.00515526,1,1
0.005274153,1,1
0.005939357,1,1
0.007162606,1,1
0.008959829,1,1
0.011354866,1,1
0.014369495,1,1
0.017997949,1,1
0.022172002,1,1
0.026730182,1,1
0.031407772,1,1
0.035859782,1,1
0.039717048,1,1
0.042660408,1,1
0.044487172,1,1
0.04514446,1,1
0.044717054,1,1
0.043377284,1,1
0.04132112,1,1
0.03871933,1,1
0.035702981,1,1
0.0323844,1,1
0.028897343,1,1
0.025431738,1,1
0.022241656,1,1
0.019617281,1,1
0.017826777,1,1
0.017046374,1,1
0.0173027,1,1
0.018448732,1,1
0.020184476,1,1
0.022118847,1,1
0.023855474,1,1
0.025077729,1,1
0.025610059,1,1
0.025442223,1,1
0.024715495,1,1
0.023679588,1,1
0.022633461,1,1
0.021862895,1,1
0.02158582,1,1
0.021914606,1,1
0.022842501,1,1
0.024257136,1,1
0.025976942,1,1
0.027798507,1,1
0.029538674,1,1
0.031057924,1,1
0.032261033,1,1
0.033082619,1,1
0.033472551,1,1
0.033394808,1,1
0.032843607,1,1
0.031868027,1,1
0.030588208,1,1
0.029187662,1,1
0.027877035,1,1
0.026839303,1,1
0.026177152,1,1
0.025884395,1,1
0.025853854,1,1
0.025918621,1,1
0.025909478,1,1
0.025705075,1,1
0.025256215,1,1
0.024578615,1,1
0.023723298,1,1
0.022742862,1,1
0.021671052,1,1
0.020523189,1,1
0.019312198,1,1
0.018066372,1,1
0.016835316,1,1
0.015678906,1,1
0.014645179,1,1
0.013750011,1,1
0.012970519,1,1
0.012256195,1,1
0.01155197,1,1
0.010821378,1,1
0.010058947,1,1
0.009287614,1,1
0.008545191,1,1
0.007868834,1,1
0.007285827,1,1
0.006813723,1,1
0.006466695,1,1
0.006261411,1,1
0.006216854,1,1
0.006347098,1,1
0.006651195,1,1
0.007106729,1,1
0.007671841,1,1
0.008295621,1,1
0.008931609,1,1
0.009547027,1,1
0.01012262,1,1
0.010643696,1,1
0.011088859,1,1
0.011425574,1,1
0.011619347,1,1
0.011656668,1,1
0.011574104,1,1
0.011480495,1,1
0.011558794,1,1
0.012039041,1,1
0.013143191,1,1
0.015013317,1,1
0.01764386,1,1
0.020842475,1,1
0.02423971,1,1
0.027354816,1,1
0.029706339,1,1
0.030938607,1,1
0.03092637,1,1
0.029824289,1,1
0.028044763,1,1
0.026169873,1,1
0.024822266,1,1
0.024529002,1,1
0.025610591,1,1
0.028117624,1,1
0.031824587,1,1
0.036278142,1,1
0.040887007,1,1
0.045033155,1,1
0.048180317,1,1
0.049957434,1,1
0.050202141,1,1
0.048961043,1,1
0.046455117,1,1
0.043025488,1,1
0.039074826,1,1
0.035014098,1,1
0.031217644,1,1
0.027985767,1,1
0.025514675,1,1
0.023876873,1,1
0.023017462,1,1
0.022770495,1,1
0.022894767,1,1
0.023122603,1,1
0.023211509,1,1
0.022988462,1,1
0.022379458,1,1
0.021420591,1,1
0.020249645,1,1
0.01907884,1,1
0.018151184,1,1
0.017686055,1,1
0.01782399,1,1
0.018584105,1,1
0.019847554,1,1
0.021375237,1,1
0.022858263,1,1
0.023988743,1,1
0.02453073,1,1
0.024370295,1,1
0.023530892,1,1
0.02215258,1,1
0.020446118,1,1
0.018639748,1,1
0.01693514,1,1
0.015481048,1,1
0.01436385,1,1
0.013608385,1,1
0.013182734,1,1
0.01300509,1,1
0.012955527,1,1
0.012896636,1,1
0.012703583,1,1
0.012298268,1,1
0.011677192,1,1
0.01092166,1,1
0.010183004,1,1
0.009643549,1,1
0.009463256,1,1
0.009728641,1,1
0.010421792,1,1
0.011421815,1,1
0.012539965,1,1
0.013577095,1,1
0.014382854,1,1
0.014894907,1,1
0.015144581,1,1
0.015229773,1,1
0.015270188,1,1
0.015366981,1,1
