Identifiers,Values
Run 1,1.54988582946783
Run 1,1.24178606126492
Run 1,1.11078390829198
Run 1,1.32766165464343
Run 1,1.44396935201841
Run 1,1.0186719237677
Run 1,0.843862999802709
Run 1,0.688028766975956
Run 1,1.11357944037705
Run 1,0.97903875956808
Run 1,0.807689404366989
Run 1,0.956506102855944
Run 1,1.38320206810037
Run 1,1.2233057490883
Run 1,1.39655582459888
Run 1,1.48639697204142
Run 1,1.45594549832664
Run 1,1.6283664508739
Run 1,1.6906749245679
Run 1,1.39614063448675
Run 1,1.39459357619914
Run 1,1.66364563168276
Run 1,1.49406944255046
Run 1,1.88946803522929
Run 1,1.71747318257991
Run 1,1.40632340300328
Run 1,1.62209082213715
Run 1,1.65296280983893
Run 1,1.67887187521927
Run 1,1.90831681266119
Run 1,2.04220103346447
Run 1,2.013908823875
Run 1,2.01189524664941
Run 1,2.12171610695475
Run 1,1.81282580843108
Run 1,1.80122050653244
Run 1,1.89490028783879
Run 1,1.85463454823101
Run 1,2.08586998048098
Run 1,2.10272075543293
Run 1,1.91146205734103
Run 1,1.78060602184673
Run 1,2.12788734700715
Run 1,1.78548734042863
Run 1,1.76898975310605
Run 1,1.93837692637199
Run 1,1.69026516997536
Run 1,1.94236754802674
Run 1,1.64072060423099
Run 1,1.65353206071429
Run 1,1.91099695469682
Run 1,2.10985817357148
Run 1,1.55835040993521
Run 1,1.86936408987066
Run 1,2.35197590163442
Run 1,2.12894173042921
Run 1,2.20707206981615
Run 1,2.11022148777908
Run 1,1.84556140982272
Run 1,1.71914571800016
Run 1,1.86259495496755
Run 1,1.58335796639361
Run 1,1.8228951302706
Run 1,2.1247626246477
Run 1,1.85475449016142
Run 1,2.1840117297925
Run 1,2.27049385502593
Run 1,1.99526903618568
Run 1,1.8166489276253
Run 1,1.95604482699419
Run 1,2.37657343231817
Run 1,2.22209291462243
Run 1,2.35256941131399
Run 1,2.33549023474145
Run 1,2.2235018957258
Run 1,2.14091860384313
Run 1,2.01922696628496
Run 1,2.02795607140386
Run 1,1.86073219278044
Run 1,2.08451700466967
Run 1,2.10715342182489
Run 1,2.36566037066525
Run 2,1.72550222265529
Run 2,1.07848896675002
Run 2,1.21199662276894
Run 2,1.29148148510886
Run 2,1.26378063973399
Run 2,1.28859554783943
Run 2,0.852799582110606
Run 2,0.541691118237166
Run 2,0.500966040660505
Run 2,0.767696980111922
Run 2,1.48944983231581
Run 2,1.75543052688464
Run 2,1.20534793245792
Run 2,1.69478624537978
Run 2,1.45067694651123
Run 2,1.23989674334758
Run 2,1.56152518436845
Run 2,1.42216679554507
Run 2,1.42218121676339
Run 2,1.71928479378292
Run 2,1.67181609800386
Run 2,1.50221646355325
Run 2,1.70054962379594
Run 2,1.4361968828848
Run 2,1.52772521817579
Run 2,1.5944593091295
Run 2,1.5974985793404
Run 2,1.64131582748796
Run 2,1.52023286876017
Run 2,1.59331104139278
Run 2,1.54397996842176
Run 2,1.93472284273016
Run 2,2.02746038117316
Run 2,1.91890905393422
Run 2,1.9028222121535
Run 2,1.66687968441929
Run 2,1.70818654964088
Run 2,1.98022776052748
Run 2,1.83078285493523
Run 2,1.89173966367973
Run 2,1.73728200972004
Run 2,1.94148536457055
